Words,Emotion
lethargic,Sad
lied to,Angry
lighthearted,Happy
liked,Happy
lively,Happy
livid,Angry
lonely,Sad
lonesome,Sad
lost,Sad
lucky,Happy
lugubrious,Sad
macho,Happy
mad,Angry
melancholy,Sad
menaced,Fear
merry,Happy
mirthful,Happy
misgiving,Fear
misunderstood,Sad
moody,Sad
moping,Sad
motivated,Surprise
mournful,Sad
needed,Surprise
needy,Happy
nervous,Fear
obligated,Sad
obsessed,Fear
offended,Angry
oppressed,Sad
optionless,Happy
ordinary,Fear
organized,Fear
out of control,Sad
out of sorts,Sad
outmaneuvered,Happy
outraged,Angry
overjoyed,Happy
overlooked,Sad
overwhelmed,Sad
panicked,Fear
passionate,Fear
passive,Sad
pathetic,Sad
pensive,Surprise
perplexed,Surprise
phobic,Fear
playful,Happy
pleased,Happy
pressured,Sad
privileged,Happy
proud,Happy
provoked,Angry
punished,Sad
put upon,Sad
quaking,Fear
quiescent,Sad
rageful,Angry
rapturous,Happy
rated,Happy
reassured,Fear
reckless,Sad
redeemed,Happy
regretful,Sad
released,Happy
remorse,Sad
replaced,Sad
repulsed,Sad
resentful,Angry
resolute,Fear
respected,Happy
responsible,Fear
restful,Fear
revered,Happy
rueful,Sad
sad,Sad
satisfied,Happy
saucy,Happy
scared,Fear
secure,Fear
self-reliant,Fear
serene,Happy
shaky,Fear
shamed,Sad
shocked,Surprise
significant,Happy
singled out,Happy
skeptical,Surprise
snoopy,Surprise
somber,Sad
sparkling,Happy
spiritless,Sad
sprightly,Happy
startled,Surprise
stereotyped,Happy
stifled,Sad
stout hearted,Fear
strong,Happy
suffering,Sad
sulky,Sad
sullen,Angry
sunny,Happy
surprised,Surprise
sympathetic,Happy
tense,Surprise
terrified,Fear
terrorized,Fear
thankful,Happy
threatened,Fear
thwarted,Sad
timid,Fear
timorous,Fear
torn,Fear
tortured,Sad
tragic,Sad
tranquil,Happy
transported,Happy
tremulous,Fear
tricked,Happy
turned on,Fear
unapproved of,Sad
unbelieving,Surprise
uncertain,Surprise
unconcerned,Sad
understood,Happy
unfocussed,Sad
unlovable,Sad
unloved,Sad
unmotivated,Sad
unshackled,Happy
unsupported,Sad
up in arms,Angry
upset,Fear
validated,Happy
valued,Happy
victimized,Sad
violated,Angry
virulent,Angry
vivacious,Happy
vulnerable,Sad
wavering,Surprise
weak,Sad
welcomed,Happy
woebegone,Sad
woeful,Sad
worn down,Sad
worn out,Sad
worried,Fear
worshiped,Happy
wrathful,Angry
wronged,Happy
wrought up,Angry
yearning,Fear
yellow,Fear
zealous,Surprise
abandoned,Sad
absolved,Happy
absorbed,Surprise
abused,Sad
accepted,Happy
aching,Sad
acrimonious,Angry
addicted,Happy
adequate,Fear
admired,Happy
affectionate,Happy
affronted,Happy
afraid,Fear
airy,Happy
alone,Sad
ambivalent,Sad
arrogant,Happy
ashamed,Sad
astonished,Surprise
at ease,Happy
attacked,Fear
audacious,Fear
average,Fear
avid,Surprise
baffled,Sad
bashful,Sad
belittled,Sad
buoyant,Happy
burdened,Sad
clouded,Sad
committed,Happy
compassionate,Happy
compelled,Fear
dauntless,Fear
debonair,Happy
deceived,Happy
delighted,Happy
demoralized,Sad
derailed,Fear
desirous,Surprise
despairing,Sad
devastated,Angry
diffident,Fear
discredited,Sad
disinclined,Sad
disorganized,Sad
downcast,Sad
entitled,Happy
exultant,Happy
fidgety,Fear
frowning,Sad
full of misgiving,Surprise
great,Happy
hapless,Sad
hated,Sad
heroic,Fear
hostile,Angry
in despair,Sad
indifferent,Sad
infuriated,Angry
inspired,Happy
inspiring,Surprise
judged,Happy
laughting,Happy
loving,Happy
lustful,Fear
manipulated,Angry
mumpish,Sad
nosey,Surprise
numb,Sad
obliterated,Sad
petrified,Fear
piqued,Angry
piteous,Sad
questioning,Surprise
self-satisfied,Happy
set up,Happy
shut out,Sad
sorrowful,Sad
supported,Happy
terrific,Happy
trembling,Fear
uncomfortable,Surprise
underestimated,Sad
unhappy,Sad
vindicated,Happy
worked up,Angry
unpredicted,Happy
efficacious,Happy
joy buzzer,Happy
acknowledged,Happy
heartening,Happy
advantageous,Happy
unimaginable,Happy
capricious,Happy
on cloud nine,Happy
upbeat,Happy
lovely,Happy
imaginative,Happy
to one's liking,Happy
polite,Happy
rewarding,Happy
good-looking,Happy
in high spirits,Happy
dazzling,Happy
ingenious,Happy
flourishing,Happy
Joyner-Kersee,Happy
picturesque,Happy
prosperous,Happy
enchanted,Happy
magnificent,Happy
enjoyable,Happy
ravishing,Happy
adept,Happy
overwhelming,Happy
spruce,Happy
blossoming,Happy
pleasurable,Happy
beauty,Happy
thrilled,Happy
convivial,Happy
gratified,Happy
sprightly,Happy
sybaritic,Happy
appealing,Happy
Joyner,Happy
Archaic,Happy
weather,Happy
fanciful,Happy
pleasant,Happy
peaceful,Happy
walking on air,Happy
impressive,Happy
delightful,Happy
Obsolete,Happy
exquisite,Happy
auspicious,Happy
remarkable,Happy
pleasure,Happy
day,Happy
overwhelmed,Happy
chipper,Happy
intoxicated,Happy
elegant,Happy
to one's taste,Happy
shapely,Happy
sparkling,Happy
laughing,Happy
flying,Happy
lunatic,Happy
fortuitous,Happy
Joyce,Happy
fine,Happy
pretty,Happy
expansive,Happy
disposition,Happy
rapturous,Happy
gorgeous,Happy
bonny,Happy
amiable,Happy
extraordinary,Happy
manners,Happy
charming,Happy
comely,Happy
providential,Happy
handsome,Happy
generous,Happy
stoked,Happy
perky,Happy
dishy,Happy
zestful,Happy
fruitful,Happy
exstatic,Happy
acceptable,Happy
brilliant,Happy
unthinkable,Happy
effervescent,Happy
epicurean,Happy
aesthetic,Happy
welcome,Happy
oyous,Happy
joypad,Happy
heery,Happy
summer,Happy
playful,Happy
flying high,Happy
hopeful,Happy
congenial,Happy
socially,Happy
humorous,Happy
peppy,Happy
fun,Happy
prodigal,Happy
splendid,Happy
luxuriant,Happy
can't complain,Happy
chirpy,Happy
lucky,Happy
attractive,Happy
champion,Happy
blithe; buoyant,Happy
irresistible,Happy
nice,Happy
adorable,Happy
cute,Happy
James,Happy
winning,Happy
a,Happy
statuesque,Happy
outstanding,Happy
drawing attention,Happy
facetious,Happy
profuse,Happy
Joycean,Happy
sensuous,Happy
lively,Happy
voluptuous,Happy
beautiful,Happy
wealthy,Happy
lavish,Happy
graceful,Happy
inhumanity,Angry
turn in one's grave,Angry
f-word,Angry
cork,Angry
go off,Angry
odfend,Angry
firework,Angry
quick,Angry
combustion,Angry
sizzle,Angry
blasted,Angry
erupt,Angry
give someone the finger,Angry
bristling,Angry
rebel,Angry
emboil,Angry
lightning rod,Angry
passion,Angry
cold-blooded,Angry
forgiveness,Angry
snuff,Angry
touchpaper,Angry
pent up,Angry
gulder,Angry
intolerance,Angry
FCOL,Angry
blow up,Angry
take something out on,Angry
digest,Angry
ruddy,Angry
let off,Angry
unoffending,Angry
rubbing,Angry
bally,Angry
emper,Angry
into orbit,Angry
sadism,Angry
fell,Angry
incandescent,Angry
tiff,Angry
curse word,Angry
precious,Angry
stay,Angry
